cell_name	setup	config	eval_concept	n_concepts	family_configs	safety_scales	cas_thresholds	attn_thresholds	img_attn_thresholds	prompts
3c_sexvioshock__sh1_tau0.5__eval_sexual	3c_sexvioshock	sh1_tau0.5	sexual	3	exemplars/i2p_v1/sexual/clip_grouped.pt exemplars/i2p_v1/violence/clip_grouped.pt exemplars/i2p_v1/shocking/clip_grouped.pt	15 15 22	0.5 0.5 0.5	0.1 0.1 0.15	0.3 0.3 0.1	prompts/i2p_sweep60/sexual_sweep.txt
3c_sexvioshock__sh1_tau0.5__eval_violence	3c_sexvioshock	sh1_tau0.5	violence	3	exemplars/i2p_v1/sexual/clip_grouped.pt exemplars/i2p_v1/violence/clip_grouped.pt exemplars/i2p_v1/shocking/clip_grouped.pt	15 15 22	0.5 0.5 0.5	0.1 0.1 0.15	0.3 0.3 0.1	prompts/i2p_sweep60/violence_sweep.txt
3c_sexvioshock__sh1_tau0.5__eval_shocking	3c_sexvioshock	sh1_tau0.5	shocking	3	exemplars/i2p_v1/sexual/clip_grouped.pt exemplars/i2p_v1/violence/clip_grouped.pt exemplars/i2p_v1/shocking/clip_grouped.pt	15 15 22	0.5 0.5 0.5	0.1 0.1 0.15	0.3 0.3 0.1	prompts/i2p_sweep60/shocking_sweep.txt
3c_sexvioshock__sh1_tau0.6__eval_sexual	3c_sexvioshock	sh1_tau0.6	sexual	3	exemplars/i2p_v1/sexual/clip_grouped.pt exemplars/i2p_v1/violence/clip_grouped.pt exemplars/i2p_v1/shocking/clip_grouped.pt	15 15 22	0.6 0.6 0.6	0.1 0.1 0.15	0.3 0.3 0.1	prompts/i2p_sweep60/sexual_sweep.txt
3c_sexvioshock__sh1_tau0.6__eval_violence	3c_sexvioshock	sh1_tau0.6	violence	3	exemplars/i2p_v1/sexual/clip_grouped.pt exemplars/i2p_v1/violence/clip_grouped.pt exemplars/i2p_v1/shocking/clip_grouped.pt	15 15 22	0.6 0.6 0.6	0.1 0.1 0.15	0.3 0.3 0.1	prompts/i2p_sweep60/violence_sweep.txt
3c_sexvioshock__sh1_tau0.6__eval_shocking	3c_sexvioshock	sh1_tau0.6	shocking	3	exemplars/i2p_v1/sexual/clip_grouped.pt exemplars/i2p_v1/violence/clip_grouped.pt exemplars/i2p_v1/shocking/clip_grouped.pt	15 15 22	0.6 0.6 0.6	0.1 0.1 0.15	0.3 0.3 0.1	prompts/i2p_sweep60/shocking_sweep.txt
3c_sexvioshock__sh1.3_tau0.5__eval_sexual	3c_sexvioshock	sh1.3_tau0.5	sexual	3	exemplars/i2p_v1/sexual/clip_grouped.pt exemplars/i2p_v1/violence/clip_grouped.pt exemplars/i2p_v1/shocking/clip_grouped.pt	19.5 19.5 28.6	0.5 0.5 0.5	0.1 0.1 0.15	0.3 0.3 0.1	prompts/i2p_sweep60/sexual_sweep.txt
3c_sexvioshock__sh1.3_tau0.5__eval_violence	3c_sexvioshock	sh1.3_tau0.5	violence	3	exemplars/i2p_v1/sexual/clip_grouped.pt exemplars/i2p_v1/violence/clip_grouped.pt exemplars/i2p_v1/shocking/clip_grouped.pt	19.5 19.5 28.6	0.5 0.5 0.5	0.1 0.1 0.15	0.3 0.3 0.1	prompts/i2p_sweep60/violence_sweep.txt
3c_sexvioshock__sh1.3_tau0.5__eval_shocking	3c_sexvioshock	sh1.3_tau0.5	shocking	3	exemplars/i2p_v1/sexual/clip_grouped.pt exemplars/i2p_v1/violence/clip_grouped.pt exemplars/i2p_v1/shocking/clip_grouped.pt	19.5 19.5 28.6	0.5 0.5 0.5	0.1 0.1 0.15	0.3 0.3 0.1	prompts/i2p_sweep60/shocking_sweep.txt
3c_sexvioshock__sh1.3_tau0.6__eval_sexual	3c_sexvioshock	sh1.3_tau0.6	sexual	3	exemplars/i2p_v1/sexual/clip_grouped.pt exemplars/i2p_v1/violence/clip_grouped.pt exemplars/i2p_v1/shocking/clip_grouped.pt	19.5 19.5 28.6	0.6 0.6 0.6	0.1 0.1 0.15	0.3 0.3 0.1	prompts/i2p_sweep60/sexual_sweep.txt
